CollegeID,College Name,University,City,State
4044,Bhivrabai Sawant Polytechnic,,Pune,Maharashtra
4045,Smt Sharchchandrika Suresh Patil Institute of Technology,,Chopda,Maharashtra
4046,Sant Tukaram Polytechnic,,Induri,Maharashtra
4047,KE Society's Rajarambapu Institute of Technology for Polytechnic,,Pune,Maharashtra
4048,JT Mahajan Polytechnic,,Faizpur,Maharashtra
4049,Sri Varalakshmi Polytechnic,,Machilipatnam,Andhra Pradesh
4050,Sanketika Polytechnic College,,Visakhapatnam,Andhra Pradesh
4051,KK Polytechnic,,Nalanda,Bihar
4052,Netaji Subhas Institute of Polytechnic,,Dealpur Daulat,Bihar
4053,GEMS Polytechnic College,,Ratanpura,Bihar
4054,Kirodimal Government Polytechnic,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Raigarh,Chhattisgarh
4055,Government Polytechnic,"Gujarat Technological University, Ahmedabad",Palanpur,Gujarat
4056,ARPIT Institute of Engineering and Technology,"Gujarat Technological University, Ahmedabad",Hadala,Gujarat
4057,Image Engineering and Technical Institute,"Gujarat Technological University, Ahmedabad",Kheda,Gujarat
4058,Shree Niranjana Swamy Polytechnic,,Mangalore,Karnataka
4059,Smt LV Government Polytechnic,,Hassan,Karnataka
4060,Maratha Mandal Polytechnic,,Belagavi,Karnataka
4061,Sree Narayana Guru Polytechnic College,,Coimbatore,Tamil Nadu
4062,Sri Venkateswara Polytechnic College,,Adukkamparai,Tamil Nadu
4063,Ramu Seetha Polytechnic College,,Virudhunagar,Tamil Nadu
4064,DPC Polytechnic College,,Pagalpatti,Tamil Nadu
4065,TDR Polytechnic,,Bibinagar,Telangana
4066,Alpine College of Management and Technology,,Dehradun,Uttarakhand
4067,Kongu Polytechnic College,,Perundurai,Tamil Nadu
4068,IRT Polytechnic College,,Tirunelveli,Tamil Nadu
4069,Meenakshi Krishnan Polytechnic College,,Chennai,Tamil Nadu
4070,KSR Polytechnic College,,Thokkavadi,Tamil Nadu
4071,Virudhunagar S Vellaichamy Nadar Polytechnic College,,Virudhunagar,Tamil Nadu
4072,Swami Vivekananda Polytechnic College,,Perambalur,Tamil Nadu
4073,St Mariam Polytechnic College,,Tirunelveli,Tamil Nadu
4074,Everest Polytechnic College,,Tirunelveli,Tamil Nadu
4075,Institute of Textile Technology,,Chaudwar,Odisha
4076,Asian School of Technology,,Bhubaneswar,Odisha
4077,Ramgarhia Polytechnic College,,Phagwara,Punjab
4078,Baba Banda Singh Bahadur Polytechnic College,,Fatehgarh Sahib,Punjab
4079,Abbnoor Polytechnic College,,Faridkot,Punjab
4080,Longowal Polytechnic College,,Dera Bassi,Punjab
4081,Bhai Mani Singh Polytechnic College,,Surjitpura,Punjab
4082,Adarsh Polytechnic College,,Samana,Punjab
4083,Bahra Polytechnic College,,Patiala,Punjab
4084,DPG Polytechnic,,Gurgaon,Haryana
4085,Chhotu Ram Polytechnic,,Rohtak,Haryana
4086,Shree Ram Institute of Technical Education,,Haripur,Haryana
4087,Gyan Ganga Polytechnic,,Chhapri,Haryana
4088,E Max Polytechnic College,,Panjlasa,Haryana
4089,Yashvir Memorial Technical Institute,,Jind,Haryana
4090,Abhishek Polytechnic College,,Abohar,Punjab
4091,KVT Polytechnic,,Kandavara,Karnataka
4092,Kamath Institute of Technology,,Hombady-Mandadi,Karnataka
4093,Vivekanand Polytechnic,,Sitasaongi,Maharashtra
4094,Shri Shivaji Polytechnic Institute,,Parbhani,Maharashtra
4095,Sharad Institute of Technology,,Ichalkaranji,Maharashtra
4096,Shri Gulabrao Deokar Polytechnic,,Jalgaon,Maharashtra
4097,Government Residential Women's Polytechnic College,,Yavatmal,Maharashtra
4098,Gurukulam Institute of Technical Education,,Ambala,Haryana
4099,Ashtvinayak Institute of Technology,,Kharkali,Haryana
4100,Government Polytechnic,,Bahraich,Uttar Pradesh
4101,Ram Singh College of Engineering and Technology,,Firozabad,Uttar Pradesh
4102,Town Polytechnic,,Ballia,Uttar Pradesh
4103,Bhaavya Technical Institute,,Agra,Uttar Pradesh
4104,Erode Institute of Chemical Technology Polytechnic College,,Vijayamangalam,Tamil Nadu
4105,RVS Polytechnic College,,Coimbatore,Tamil Nadu
4106,Paavendhar Polytechnic College,,Salem,Tamil Nadu
4107,Aalim Muhammed Salegh Polytechnic College,,Chennai,Tamil Nadu
4108,CSI Polytechnic College,,Salem,Tamil Nadu
4109,Nagasiva Polytechnic College,,Virathanoor,Tamil Nadu
4110,Arasan Ganesan Polytechnic College,,A.Meenachipuram,Tamil Nadu
4111,VDF School of Polytechnic,,Latur,Maharashtra
4112,Sahyadri Polytechnic,,Ratnagiri,Maharashtra
4113,Allahabad College of Engineering and Management,,Amaon,Uttar Pradesh
4114,Sanjay Gandhi Polytechnic,,Sultanpur,Uttar Pradesh
4115,Azad Polytechnic,,Azamgarh,Uttar Pradesh
4116,Sree Rama Government Polytechnic College,,Valapad,Kerala
4117,Vijay Pratap Institute of Technology,,Jaunpur,Uttar Pradesh
4118,Mahatma Jyotiba Phule Government Polytechnic,,Pata,Uttar Pradesh
4119,Anjana Institute of Technical Education,,Ajgara,Uttar Pradesh
4120,Marathwada Institute of Technology,,Aurangabad,Maharashtra
